Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2021-11-01 18:58:39,2021-11-01 18:58:47,7.651s,FAILED
,,,,,,,
Test Cases/Test 1 by Tom,,,,2021-11-01 18:58:40,2021-11-01 18:58:47,7.163s,FAILED
"openBrowser(""www.google.com"")",,,,2021-11-01 18:58:41,2021-11-01 18:58:47,6.432s,FAILED
